name,price,mrp,description,category_name,stock,material,size,featured,is_new_arrival,image_name
Adiyogi Shiva Face Copper Wall Hanging,1299,1800,"Adiyogi Shiva Face Copper Wall Hanging made with Copper, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Copper,Standard,true,false,Adiyogi Shiva Face Copper Wall Hanging.png
Adiyogi Shiva Statue Black Gold,999,1350,"Adiyogi Shiva Statue Black Gold made with Gold Finish, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Gold Finish,Standard,true,false,Adiyogi Shiva Statue Black Gold.png
Antique Copper Temple Bell Keychain,199,300,"Antique Copper Temple Bell Keychain made with Copper, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Copper,Standard,true,false,Antique Copper Temple Bell Keychain.png
Baby Krishna Laddu Gopal Brass Statue,1599,2200,"Baby Krishna Laddu Gopal Brass Statue made with Brass, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Brass,Standard,true,false,Baby Krishna Laddu Gopal Brass Statue.png
Baby Krishna Makhan Chor Colorful Idol,999,1350,"Baby Krishna Makhan Chor Colorful Idol made with Handcrafted Material, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Handcrafted Material,Standard,true,false,Baby Krishna Makhan Chor Colorful Idol.png
Black Onyx Double Strand Necklace,699,950,"Black Onyx Double Strand Necklace made with Black Onyx, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Black Onyx,Standard,true,false,Black Onyx Double Strand Necklace 1.png
Black Onyx Mala 108 Beads with Certificate,699,950,"Black Onyx Mala 108 Beads with Certificate made with Black Onyx, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Black Onyx,Standard,true,false,Black Onyx Mala 108 Beads with Certificate.png
Black Onyx Mala 108 Beads with Orange Tassel,699,950,"Black Onyx Mala 108 Beads with Orange Tassel made with Black Onyx, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Black Onyx,Standard,true,false,Black Onyx Mala 108 Beads with Orange Tassel.png
Black Onyx Rosary Necklace Silver Links,699,950,"Black Onyx Rosary Necklace Silver Links made with Black Onyx, suitable for jewellery & spiritual accessories, home decor, festive gifting, and spiritual collections.",Jewellery & Spiritual Accessories,15,Black Onyx,Standard,true,false,Black Onyx Rosary Necklace Silver Links.png
Buddha Bust Statue Black Blue,999,1350,"Buddha Bust Statue Black Blue made with Handcrafted Material, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Handcrafted Material,Standard,true,false,Buddha Bust Statue Black Blue.png
Buddha Bust Statue White Gold,999,1350,"Buddha Bust Statue White Gold made with Gold Finish, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Gold Finish,Standard,true,false,Buddha Bust Statue White Gold.png
Buddha Head Statue Blue,999,1350,"Buddha Head Statue Blue made with Handcrafted Material, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Handcrafted Material,Standard,true,false,Buddha Head Statue Blue.png
Buddha Head Statue Green,999,1350,"Buddha Head Statue Green made with Handcrafted Material, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Handcrafted Material,Standard,false,true,Buddha Head Statue Green.png
Buddha Head Statue Orange,999,1350,"Buddha Head Statue Orange made with Handcrafted Material, suitable for statues & idols, home decor, festive gifting, and spiritual collections.",Statues & Idols,8,Handcrafted Material,Standard,false,true,Buddha Head Statue Orange.png
Butterfly Wooden Fridge Magnets Set,299,450,"Butterfly Wooden Fridge Magnets Set made with Wood, suitable for magnets, home decor, festive gifting, and spiritual collections.",Magnets,30,Wood,Standard,false,true,Butterfly Wooden Fridge Magnets Set.png
Cane Wicker Lantern Lamp,799,1100,"Cane Wicker Lantern Lamp made with Cane/Wicker, suitable for lamps & pooja decor, home decor, festive gifting, and spiritual collections.",Lamps & Pooja Decor,15,Cane/Wicker,Standard,false,true,Cane Wicker Lantern Lamp.png
Chenda Drum Car Hanging Orange,299,450,"Chenda Drum Car Hanging Orange made with Handcrafted Material, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Handcrafted Material,Standard,false,true,Chenda Drum Car Hanging Orange.png
Chenda Drum Car Hanging Pink Pom Poms,299,450,"Chenda Drum Car Hanging Pink Pom Poms made with Handcrafted Material, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Handcrafted Material,Standard,false,true,Chenda Drum Car Hanging Pink Pom Poms.png
Coastal Sunset Wooden Wall Art Frame,1499,2050,"Coastal Sunset Wooden Wall Art Frame made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,true,Coastal Sunset Wooden Wall Art Frame.png
Coconut Tree Wooden Wall Key Holder,899,1250,"Coconut Tree Wooden Wall Key Holder made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,true,Coconut Tree Wooden Wall Key Holder.png
Colorful Decorative Hand Fan Multicolor,699,950,"Colorful Decorative Hand Fan Multicolor made with Handcrafted Material, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Handcrafted Material,Standard,false,true,Colorful Decorative Hand Fan Multicolor.png
Colorful Peacock Wooden Shield Wall Art,1299,1800,"Colorful Peacock Wooden Shield Wall Art made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,true,Colorful Peacock Wooden Shield Wall Art.png
Decorated Elephant Wall Hanging on Bamboo Frame,1499,2050,"Decorated Elephant Wall Hanging on Bamboo Frame made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,true,Decorated Elephant Wall Hanging on Bamboo Frame.png
Decorative Hand Fan Blue Gold,699,950,"Decorative Hand Fan Blue Gold made with Gold Finish, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Gold Finish,Standard,false,true,Decorative Hand Fan Blue Gold.png
Decorative Hand Fan White Gold,699,950,"Decorative Hand Fan White Gold made with Gold Finish, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Gold Finish,Standard,false,true,Decorative Hand Fan White Gold.png
Devi Devotional Wall Hanging with Lakshmi Frame,1499,2050,"Devi Devotional Wall Hanging with Lakshmi Frame made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,true,Devi Devotional Wall Hanging with Lakshmi Frame.png
Elephant Kavach Guruti Shield Wall Hanging,1299,1800,"Elephant Kavach Guruti Shield Wall Hanging made with Wood, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Wood,Standard,false,true,Elephant Kavach Guruti Shield Wall Hanging 1.png
Fish Wall Hanging Garland Set of,349,500,"Fish Wall Hanging Garland Set of made with Handcrafted Material, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Handcrafted Material,Standard,false,true,Fish Wall Hanging Garland Set of 2.png
Ganesha Abstract Leather Keychain Blue,199,300,"Ganesha Abstract Leather Keychain Blue made with Leather, suitable for keychains, home decor, festive gifting, and spiritual collections.",Keychains,25,Leather,Standard,false,true,Ganesha Abstract Leather Keychain Blue Front.png
Ganesha Face Coir Wall Art,899,1250,"Ganesha Face Coir Wall Art made with Coir, suitable for wall decor, home decor, festive gifting, and spiritual collections.",Wall Decor,10,Coir,Standard,false,true,Ganesha Face Coir Wall Art.png
